lux,ISO,ShutterSpeed,Aperture
1,3200,1/30,2.8
2,3200,1/30,2.8
3,3200,1/30,2.8
4,3200,1/30,2.8
5,3200,1/30,2.8
6,3200,1/30,2.8
7,3200,1/30,2.8
8,3200,1/30,2.8
9,3200,1/30,2.8
10,3200,1/30,2.8
11,3200,1/30,2.8
12,3200,1/30,2.8
13,3200,1/30,2.8
14,1600,1/30,2.8
15,1600,1/30,2.8
16,1600,1/30,2.8
17,1600,1/30,2.8
18,1600,1/30,2.8
19,1600,1/30,2.8
20,1600,1/30,2.8
21,1600,1/30,2.8
22,1600,1/30,2.8
23,1600,1/30,2.8
24,1600,1/30,2.8
25,1600,1/30,2.8
26,1600,1/30,2.8
27,1600,1/30,2.8
28,1600,1/30,2.8
29,1600,1/30,2.8
30,1600,1/30,2.8
31,1600,1/30,2.8
32,1600,1/30,2.8
33,1600,1/30,2.8
34,1600,1/30,2.8
35,1600,1/30,2.8
36,1600,1/30,2.8
37,1600,1/30,2.8
38,1600,1/30,2.8
39,1600,1/30,2.8
40,1600,1/30,2.8
41,1600,1/30,2.8
42,1600,1/30,2.8
43,1600,1/30,2.8
44,1600,1/30,2.8
45,1600,1/30,2.8
46,1600,1/30,2.8
47,1600,1/30,2.8
48,800,1/30,4
49,800,1/30,4
50,800,1/30,4
51,800,1/30,4
52,800,1/30,4
53,800,1/30,4
54,800,1/30,4
55,800,1/30,4
56,800,1/30,4
57,800,1/30,4
58,800,1/30,4
59,800,1/30,4
60,800,1/30,4
61,800,1/30,4
62,800,1/30,4
63,800,1/30,4
64,800,1/30,4
65,800,1/30,4
66,800,1/30,4
67,800,1/30,4
68,800,1/30,4
69,800,1/30,4
70,800,1/30,4
71,800,1/30,4
72,800,1/30,4
73,800,1/30,4
74,800,1/30,4
75,800,1/30,4
76,800,1/30,4
77,800,1/30,4
78,400,1/30,2.8
79,400,1/30,2.8
80,400,1/30,2.8
81,400,1/30,2.8
82,400,1/30,2.8
83,400,1/30,2.8
84,400,1/30,2.8
85,400,1/30,2.8
86,400,1/30,2.8
87,400,1/30,2.8
88,400,1/30,2.8
89,400,1/30,2.8
90,400,1/30,2.8
91,400,1/30,2.8
92,400,1/30,2.8
93,400,1/30,2.8
94,400,1/30,2.8
95,400,1/30,2.8
96,400,1/30,2.8
97,400,1/30,2.8
98,400,1/30,2.8
99,400,1/30,2.8
100,400,1/30,2.8
101,400,1/30,2.8
102,400,1/30,2.8
103,400,1/30,2.8
104,400,1/30,2.8
105,400,1/30,2.8
106,400,1/30,2.8
107,400,1/30,2.8
108,400,1/30,2.8
109,400,1/30,2.8
110,400,1/30,2.8
111,400,1/30,2.8
112,400,1/30,2.8
113,400,1/30,2.8
114,400,1/30,2.8
115,400,1/30,2.8
116,400,1/30,2.8
117,400,1/30,2.8
118,400,1/30,2.8
119,400,1/30,2.8
120,400,1/30,2.8
121,400,1/30,2.8
122,400,1/30,2.8
123,400,1/30,2.8
124,400,1/30,2.8
125,400,1/30,2.8
126,400,1/30,2.8
127,400,1/30,2.8
128,400,1/30,2.8
129,400,1/30,2.8
130,400,1/30,2.8
131,400,1/30,2.8
132,400,1/30,2.8
133,400,1/30,2.8
134,400,1/30,2.8
135,400,1/30,2.8
136,400,1/30,2.8
137,400,1/30,2.8
138,400,1/30,2.8
139,400,1/30,2.8
140,400,1/30,2.8
141,400,1/30,2.8
142,400,1/30,2.8
143,400,1/30,2.8
144,400,1/30,2.8
145,400,1/30,2.8
146,400,1/30,2.8
147,400,1/30,2.8
148,400,1/30,2.8
149,400,1/30,2.8
150,400,1/30,2.8
151,400,1/30,2.8
152,400,1/30,2.8
153,400,1/30,2.8
154,400,1/30,2.8
155,400,1/30,2.8
156,400,1/30,2.8
157,400,1/30,2.8
158,400,1/30,2.8
159,400,1/30,2.8
160,400,1/30,2.8
161,400,1/30,2.8
162,400,1/30,2.8
163,400,1/30,2.8
164,400,1/30,2.8
165,400,1/30,2.8
166,400,1/30,2.8
167,400,1/30,2.8
168,400,1/30,2.8
169,400,1/30,2.8
170,400,1/30,2.8
171,400,1/30,2.8
172,400,1/30,2.8
173,400,1/30,2.8
174,400,1/30,2.8
175,400,1/30,2.8
176,400,1/30,2.8
177,400,1/30,2.8
178,400,1/30,2.8
179,400,1/30,2.8
180,400,1/30,2.8
181,400,1/30,2.8
182,400,1/30,2.8
183,400,1/30,2.8
184,400,1/30,2.8
185,400,1/30,2.8
186,400,1/30,2.8
187,400,1/30,2.8
188,400,1/30,2.8
189,400,1/30,2.8
190,400,1/30,2.8
191,400,1/30,2.8
192,400,1/30,2.8
193,400,1/30,2.8
194,400,1/30,2.8
195,400,1/30,2.8
196,400,1/30,2.8
197,400,1/30,2.8
198,400,1/30,2.8
199,400,1/30,2.8
200,400,1/30,2.8
201,400,1/30,2.8
202,400,1/30,2.8
203,400,1/30,2.8
204,400,1/30,2.8
205,400,1/30,2.8
206,400,1/30,2.8
207,400,1/30,2.8
208,400,1/30,2.8
209,400,1/30,2.8
210,400,1/30,2.8
211,400,1/30,2.8
212,400,1/30,2.8
213,400,1/30,2.8
214,400,1/30,2.8
215,400,1/30,2.8
216,400,1/30,2.8
217,400,1/30,2.8
218,400,1/30,2.8
219,400,1/30,2.8
220,400,1/30,2.8
221,400,1/30,2.8
222,400,1/30,2.8
223,400,1/30,2.8
224,400,1/30,2.8
225,400,1/30,2.8
226,400,1/30,2.8
227,400,1/30,2.8
228,400,1/30,2.8
229,400,1/30,2.8
230,400,1/30,2.8
231,400,1/30,2.8
232,400,1/30,2.8
233,400,1/30,2.8
234,400,1/30,2.8
235,400,1/30,2.8
236,400,1/30,2.8
237,400,1/30,2.8
238,400,1/30,2.8
239,400,1/30,2.8
240,400,1/30,2.8
241,400,1/30,2.8
242,400,1/30,2.8
243,400,1/30,2.8
244,400,1/30,4
245,200,1/60,5.6
246,100,1/60,5.6
247,100,1/60,5.6
248,100,1/60,5.6
249,100,1/60,5.6
250,100,1/60,5.6
251,100,1/60,5.6
252,100,1/60,5.6
253,100,1/60,5.6
254,100,1/60,5.6
255,100,1/60,5.6
256,100,1/60,5.6
257,100,1/60,5.6
258,100,1/60,5.6
259,100,1/60,5.6
260,100,1/60,5.6
261,100,1/60,5.6
262,100,1/60,5.6
263,100,1/60,5.6
264,100,1/60,5.6
265,100,1/60,5.6
266,100,1/60,5.6
267,100,1/60,5.6
268,100,1/60,5.6
269,100,1/60,5.6
270,100,1/60,5.6
271,100,1/60,5.6
272,100,1/60,5.6
273,100,1/60,5.6
274,100,1/60,5.6
275,100,1/60,5.6
276,100,1/60,5.6
277,100,1/60,5.6
278,100,1/60,5.6
279,100,1/60,5.6
280,100,1/60,5.6
281,100,1/60,5.6
282,100,1/60,5.6
283,100,1/60,5.6
284,100,1/60,5.6
285,100,1/60,5.6
286,100,1/60,5.6
287,100,1/60,5.6
288,100,1/60,5.6
289,100,1/60,5.6
290,100,1/60,5.6
291,100,1/60,5.6
292,100,1/60,5.6
293,100,1/60,5.6
294,100,1/60,5.6
295,100,1/60,5.6
296,100,1/60,5.6
297,100,1/60,5.6
298,100,1/60,5.6
299,100,1/60,5.6
300,100,1/60,5.6
301,100,1/60,5.6
302,100,1/60,5.6
303,100,1/60,5.6
304,100,1/60,5.6
305,100,1/60,5.6
306,100,1/60,5.6
307,100,1/60,5.6
308,100,1/60,5.6
309,100,1/60,5.6
310,100,1/60,5.6
311,100,1/60,5.6
312,100,1/60,5.6
313,100,1/60,5.6
314,100,1/60,5.6
315,100,1/60,5.6
316,100,1/60,5.6
317,100,1/60,5.6
318,100,1/60,5.6
319,100,1/60,5.6
320,100,1/60,5.6
321,100,1/60,5.6
322,100,1/60,5.6
323,100,1/60,5.6
324,100,1/60,5.6
325,100,1/60,5.6
326,100,1/60,5.6
327,100,1/60,5.6
328,100,1/60,5.6
329,100,1/60,5.6
330,100,1/60,5.6
331,100,1/60,5.6
332,100,1/60,5.6
333,100,1/60,5.6
334,100,1/60,5.6
335,100,1/60,5.6
336,100,1/60,5.6
337,100,1/60,5.6
338,100,1/60,5.6
339,100,1/60,5.6
340,100,1/60,5.6
341,100,1/60,5.6
342,100,1/60,5.6
343,100,1/60,5.6
344,100,1/60,5.6
345,100,1/60,5.6
346,100,1/60,5.6
347,100,1/60,5.6
348,100,1/60,5.6
349,100,1/60,5.6
350,100,1/60,5.6
351,100,1/60,5.6
352,100,1/60,5.6
353,100,1/60,5.6
354,100,1/60,5.6
355,100,1/60,5.6
356,100,1/60,5.6
357,100,1/60,5.6
358,100,1/60,5.6
359,100,1/60,5.6
360,100,1/60,5.6
361,100,1/60,5.6
362,100,1/60,5.6
363,100,1/60,5.6
364,100,1/60,5.6
365,100,1/60,5.6
366,100,1/60,5.6
367,100,1/60,5.6
368,100,1/60,5.6
369,100,1/60,5.6
370,100,1/60,5.6
371,100,1/60,5.6
372,100,1/60,5.6
373,100,1/60,5.6
374,100,1/60,5.6
375,100,1/60,5.6
376,100,1/60,5.6
377,100,1/60,5.6
378,100,1/60,5.6
379,100,1/60,5.6
380,100,1/60,5.6
381,100,1/60,5.6
382,100,1/60,5.6
383,100,1/60,5.6
384,100,1/60,5.6
385,100,1/60,5.6
386,100,1/60,5.6
387,100,1/60,5.6
388,100,1/60,5.6
389,100,1/60,5.6
390,100,1/60,5.6
391,100,1/60,5.6
392,100,1/60,5.6
393,100,1/60,5.6
394,100,1/60,5.6
395,100,1/60,5.6
396,100,1/60,5.6
397,100,1/60,5.6
398,100,1/60,5.6
399,100,1/60,5.6
400,100,1/60,5.6
401,100,1/60,5.6
402,100,1/60,5.6
403,100,1/60,5.6
404,100,1/60,5.6
405,100,1/60,5.6
406,100,1/60,5.6
407,100,1/60,5.6
408,100,1/60,5.6
409,100,1/60,5.6
410,100,1/60,5.6
411,100,1/60,5.6
412,100,1/60,5.6
413,100,1/60,5.6
414,100,1/60,5.6
415,100,1/60,5.6
416,100,1/60,5.6
417,100,1/60,5.6
418,100,1/60,5.6
419,100,1/60,5.6
420,100,1/60,5.6
421,100,1/60,5.6
422,100,1/60,5.6
423,100,1/60,5.6
424,100,1/60,5.6
425,100,1/60,5.6
426,100,1/60,5.6
427,100,1/60,5.6
428,100,1/60,5.6
429,100,1/60,5.6
430,100,1/60,5.6
431,100,1/60,5.6
432,100,1/60,5.6
433,100,1/60,5.6
434,100,1/60,5.6
435,100,1/60,5.6
436,100,1/60,5.6
437,100,1/60,5.6
438,100,1/60,5.6
439,100,1/60,5.6
440,100,1/60,5.6
441,100,1/60,5.6
442,100,1/60,5.6
443,100,1/60,5.6
444,100,1/60,5.6
445,100,1/60,5.6
446,100,1/60,5.6
447,100,1/60,5.6
448,100,1/60,5.6
449,100,1/125,5.6
450,100,1/125,5.6
451,100,1/125,5.6
452,100,1/125,5.6
453,100,1/125,5.6
454,100,1/125,5.6
455,100,1/125,5.6
456,100,1/125,5.6
457,100,1/125,5.6
458,100,1/125,5.6
459,100,1/125,5.6
460,100,1/125,5.6
461,100,1/125,5.6
462,100,1/125,5.6
463,100,1/125,5.6
464,100,1/125,5.6
465,100,1/125,5.6
466,100,1/125,5.6
467,100,1/125,5.6
468,100,1/125,5.6
469,100,1/125,5.6
470,100,1/125,5.6
471,100,1/125,5.6
472,100,1/125,5.6
473,100,1/125,5.6
474,100,1/125,5.6
475,100,1/125,5.6
476,100,1/125,5.6
477,100,1/125,5.6
478,100,1/125,5.6
479,100,1/125,5.6
480,100,1/125,5.6
481,100,1/125,5.6
482,100,1/125,5.6
483,100,1/125,5.6
484,100,1/125,5.6
485,100,1/125,5.6
486,100,1/125,5.6
487,100,1/125,5.6
488,100,1/125,5.6
489,100,1/125,5.6
490,100,1/125,5.6
491,100,1/125,5.6
492,100,1/125,5.6
493,100,1/125,5.6
494,100,1/125,5.6
495,100,1/125,5.6
496,100,1/125,5.6
497,100,1/125,5.6
498,100,1/125,5.6
499,100,1/125,5.6
500,100,1/125,5.6
501,100,1/125,5.6
502,100,1/125,5.6
503,100,1/125,5.6
504,100,1/125,5.6
505,100,1/125,5.6
506,100,1/125,5.6
507,100,1/125,5.6
508,100,1/125,5.6
509,100,1/125,5.6
510,100,1/125,5.6
511,100,1/125,5.6
512,100,1/125,5.6
513,100,1/125,5.6
514,100,1/125,5.6
515,100,1/125,5.6
516,100,1/125,5.6
517,100,1/125,5.6
518,100,1/125,5.6
519,100,1/125,5.6
520,100,1/125,5.6
521,100,1/125,5.6
522,100,1/125,5.6
523,100,1/125,5.6
524,100,1/125,5.6
525,100,1/125,5.6
526,100,1/125,5.6
527,100,1/125,5.6
528,100,1/125,5.6
529,100,1/125,5.6
530,100,1/125,5.6
531,100,1/125,5.6
532,100,1/125,5.6
533,100,1/125,5.6
534,100,1/125,5.6
535,100,1/125,5.6
536,100,1/125,5.6
537,100,1/125,5.6
538,100,1/125,5.6
539,100,1/125,5.6
540,100,1/125,5.6
541,100,1/125,5.6
542,100,1/125,5.6
543,100,1/125,5.6
544,100,1/125,5.6
545,100,1/125,5.6
546,100,1/125,5.6
547,100,1/125,5.6
548,100,1/125,5.6
549,100,1/125,5.6
550,100,1/125,5.6
551,100,1/125,5.6
552,100,1/125,5.6
553,100,1/125,5.6
554,100,1/125,5.6
555,100,1/60,5.6
556,100,1/60,5.6
557,100,1/60,5.6
558,100,1/60,5.6
559,100,1/60,5.6
560,100,1/60,5.6
561,100,1/60,5.6
562,100,1/60,5.6
563,100,1/60,5.6
564,100,1/60,5.6
565,100,1/60,5.6
566,100,1/60,5.6
567,100,1/60,5.6
568,100,1/60,5.6
569,100,1/60,5.6
570,100,1/60,5.6
571,100,1/60,5.6
572,100,1/60,5.6
573,100,1/60,5.6
574,100,1/60,5.6
575,100,1/60,5.6
576,100,1/60,5.6
577,100,1/60,5.6
578,100,1/60,5.6
579,100,1/60,5.6
580,100,1/60,5.6
581,100,1/60,5.6
582,100,1/60,5.6
583,100,1/60,5.6
584,100,1/60,5.6
585,100,1/60,5.6
586,100,1/60,5.6
587,100,1/60,5.6
588,100,1/60,5.6
589,100,1/60,5.6
590,100,1/60,5.6
591,100,1/60,5.6
592,100,1/60,5.6
593,100,1/60,5.6
594,100,1/60,5.6
595,100,1/60,5.6
596,100,1/60,5.6
597,100,1/60,5.6
598,100,1/60,5.6
599,100,1/60,5.6
600,100,1/60,5.6
601,100,1/60,5.6
602,100,1/60,5.6
603,100,1/60,5.6
604,100,1/60,5.6
605,100,1/60,5.6
606,100,1/60,5.6
607,100,1/60,5.6
608,100,1/60,5.6
609,100,1/60,5.6
610,100,1/60,5.6
611,100,1/60,5.6
612,100,1/60,5.6
613,100,1/60,5.6
614,100,1/60,5.6
615,100,1/60,5.6
616,100,1/60,5.6
617,100,1/60,5.6
618,100,1/60,5.6
619,100,1/60,5.6
620,100,1/60,5.6
621,100,1/60,5.6
622,100,1/60,5.6
623,100,1/60,5.6
624,100,1/60,5.6
625,100,1/60,5.6
626,100,1/60,5.6
627,100,1/60,5.6
628,100,1/60,5.6
629,100,1/60,5.6
630,100,1/60,5.6
631,100,1/60,5.6
632,100,1/60,5.6
633,100,1/60,5.6
634,100,1/60,5.6
635,100,1/60,5.6
636,100,1/60,5.6
637,100,1/60,5.6
638,100,1/60,5.6
639,100,1/60,5.6
640,100,1/60,5.6
641,100,1/60,5.6
642,100,1/60,5.6
643,100,1/60,5.6
644,100,1/60,5.6
645,100,1/60,5.6
646,100,1/60,5.6
647,100,1/60,5.6
648,100,1/60,5.6
649,100,1/60,5.6
650,100,1/60,5.6
651,100,1/60,5.6
652,100,1/60,5.6
653,100,1/60,5.6
654,100,1/60,5.6
655,100,1/60,5.6
656,100,1/60,5.6
657,100,1/60,5.6
658,100,1/60,5.6
659,100,1/60,5.6
660,100,1/60,5.6
661,100,1/60,5.6
662,100,1/60,5.6
663,100,1/60,5.6
664,100,1/60,5.6
665,100,1/60,5.6
666,100,1/60,5.6
667,100,1/60,5.6
668,100,1/60,5.6
669,100,1/60,5.6
670,100,1/60,5.6
671,100,1/60,5.6
672,100,1/60,5.6
673,100,1/60,5.6
674,100,1/60,5.6
675,100,1/60,5.6
676,100,1/60,5.6
677,100,1/60,5.6
678,100,1/60,5.6
679,100,1/60,5.6
680,100,1/60,5.6
681,100,1/60,5.6
682,100,1/60,5.6
683,100,1/60,5.6
684,100,1/60,5.6
685,100,1/60,5.6
686,100,1/60,5.6
687,100,1/60,5.6
688,100,1/60,5.6
689,100,1/60,5.6
690,100,1/60,5.6
691,100,1/60,5.6
692,100,1/60,5.6
693,100,1/60,5.6
694,100,1/60,5.6
695,100,1/60,5.6
696,100,1/60,5.6
697,100,1/60,5.6
698,100,1/60,5.6
699,100,1/60,5.6
700,100,1/60,5.6
701,100,1/60,5.6
702,100,1/60,5.6
703,100,1/60,5.6
704,100,1/60,5.6
705,100,1/60,5.6
706,100,1/60,5.6
707,100,1/60,5.6
708,100,1/60,5.6
709,100,1/60,5.6
710,100,1/60,5.6
711,100,1/60,5.6
712,100,1/60,5.6
713,100,1/60,5.6
714,100,1/60,5.6
715,100,1/60,5.6
716,100,1/60,5.6
717,100,1/60,5.6
718,100,1/60,5.6
719,100,1/60,5.6
720,100,1/60,5.6
721,100,1/60,5.6
722,100,1/60,5.6
723,100,1/60,5.6
724,100,1/60,5.6
725,100,1/60,5.6
726,100,1/60,5.6
727,100,1/60,5.6
728,100,1/60,5.6
729,100,1/60,5.6
730,100,1/60,5.6
731,100,1/60,5.6
732,100,1/60,5.6
733,100,1/60,5.6
734,100,1/60,5.6
735,100,1/60,5.6
736,100,1/60,5.6
737,100,1/60,5.6
738,100,1/60,5.6
739,100,1/60,5.6
740,100,1/60,5.6
741,100,1/60,5.6
742,100,1/60,5.6
743,100,1/60,5.6
744,100,1/60,5.6
745,100,1/60,5.6
746,100,1/60,5.6
747,100,1/60,5.6
748,100,1/60,5.6
749,100,1/60,5.6
750,100,1/60,5.6
751,100,1/60,5.6
752,100,1/60,5.6
753,100,1/60,5.6
754,100,1/60,5.6
755,100,1/60,5.6
756,100,1/60,5.6
757,100,1/60,5.6
758,100,1/60,5.6
759,100,1/60,5.6
760,100,1/60,5.6
761,100,1/60,5.6
762,100,1/60,5.6
763,100,1/60,5.6
764,100,1/60,5.6
765,100,1/60,5.6
766,100,1/60,5.6
767,100,1/60,5.6
768,100,1/60,5.6
769,100,1/60,5.6
770,100,1/60,5.6
771,100,1/60,5.6
772,100,1/60,5.6
773,100,1/60,5.6
774,100,1/60,5.6
775,100,1/60,5.6
776,100,1/60,5.6
777,100,1/60,5.6
778,100,1/60,5.6
779,100,1/60,5.6
780,100,1/60,5.6
781,100,1/60,5.6
782,100,1/60,5.6
783,100,1/60,5.6
784,100,1/60,5.6
785,100,1/60,5.6
786,100,1/60,5.6
787,100,1/60,5.6
788,100,1/60,5.6
789,100,1/60,5.6
790,100,1/60,5.6
791,100,1/60,5.6
792,100,1/60,5.6
793,100,1/60,5.6
794,100,1/60,5.6
795,100,1/60,5.6
796,100,1/60,5.6
797,100,1/60,5.6
798,100,1/60,5.6
799,100,1/60,5.6
800,100,1/60,5.6
801,100,1/60,5.6
802,100,1/60,5.6
803,100,1/60,5.6
804,100,1/60,5.6
805,100,1/60,5.6
806,100,1/60,5.6
807,100,1/60,5.6
808,100,1/60,5.6
809,100,1/60,5.6
810,100,1/60,5.6
811,100,1/60,5.6
812,100,1/60,5.6
813,100,1/60,5.6
814,100,1/60,5.6
815,100,1/60,5.6
816,100,1/60,5.6
817,100,1/60,5.6
818,100,1/60,5.6
819,100,1/60,5.6
820,100,1/60,5.6
821,100,1/60,5.6
822,100,1/60,5.6
823,100,1/60,5.6
824,100,1/60,5.6
825,100,1/60,5.6
826,100,1/60,5.6
827,100,1/60,5.6
828,100,1/60,5.6
829,100,1/60,5.6
830,100,1/60,5.6
831,100,1/60,5.6
832,100,1/60,5.6
833,100,1/60,5.6
834,100,1/60,5.6
835,100,1/60,5.6
836,100,1/60,5.6
837,100,1/60,5.6
838,100,1/60,5.6
839,100,1/60,5.6
840,100,1/60,5.6
841,100,1/60,5.6
842,100,1/60,5.6
843,100,1/60,5.6
844,100,1/60,5.6
845,100,1/60,5.6
846,100,1/60,5.6
847,100,1/60,5.6
848,100,1/60,5.6
849,100,1/60,5.6
850,100,1/60,5.6
851,100,1/60,5.6
852,100,1/60,5.6
853,100,1/60,5.6
854,100,1/60,5.6
855,100,1/60,5.6
856,100,1/60,5.6
857,100,1/60,5.6
858,100,1/60,5.6
859,100,1/60,5.6
860,100,1/60,5.6
861,100,1/60,5.6
862,100,1/60,5.6
863,100,1/60,5.6
864,100,1/60,5.6
865,100,1/60,5.6
866,100,1/60,5.6
867,100,1/60,5.6
868,100,1/60,5.6
869,100,1/60,5.6
870,100,1/60,5.6
871,100,1/60,5.6
872,100,1/60,5.6
873,100,1/60,5.6
874,100,1/60,5.6
875,100,1/60,5.6
876,100,1/60,5.6
877,100,1/60,5.6
878,100,1/60,5.6
879,100,1/60,5.6
880,100,1/60,5.6
881,100,1/60,5.6
882,100,1/60,5.6
883,100,1/60,5.6
884,100,1/60,5.6
885,100,1/60,5.6
886,100,1/60,5.6
887,100,1/60,5.6
888,100,1/60,5.6
889,100,1/60,5.6
890,100,1/60,5.6
891,100,1/60,5.6
892,100,1/60,5.6
893,100,1/60,5.6
894,100,1/60,5.6
895,100,1/60,5.6
896,100,1/60,5.6
897,100,1/60,5.6
898,100,1/60,5.6
899,100,1/60,5.6
900,100,1/60,5.6
901,100,1/60,5.6
902,100,1/60,5.6
903,100,1/60,5.6
904,100,1/60,5.6
905,100,1/60,5.6
906,100,1/60,5.6
907,100,1/60,5.6
908,100,1/60,5.6
909,100,1/60,5.6
910,100,1/60,5.6
911,100,1/60,5.6
912,100,1/60,5.6
913,100,1/60,5.6
914,100,1/60,5.6
915,100,1/60,5.6
916,100,1/60,5.6
917,100,1/60,5.6
918,100,1/60,5.6
919,100,1/60,5.6
920,100,1/60,5.6
921,100,1/60,5.6
922,100,1/60,5.6
923,100,1/60,5.6
924,100,1/60,5.6
925,100,1/60,5.6
926,100,1/60,5.6
927,100,1/60,5.6
928,100,1/60,5.6
929,100,1/60,5.6
930,100,1/60,5.6
931,100,1/60,5.6
932,100,1/60,5.6
933,100,1/60,5.6
934,100,1/60,5.6
935,100,1/60,5.6
936,100,1/60,5.6
937,100,1/60,5.6
938,100,1/60,5.6
939,100,1/60,5.6
940,100,1/60,5.6
941,100,1/60,5.6
942,100,1/60,5.6
943,100,1/60,5.6
944,100,1/60,5.6
945,100,1/60,5.6
946,100,1/60,5.6
947,100,1/60,5.6
948,100,1/60,5.6
949,100,1/60,5.6
950,100,1/60,5.6
951,100,1/60,5.6
952,100,1/60,5.6
953,100,1/60,5.6
954,100,1/60,5.6
955,100,1/60,5.6
956,100,1/60,5.6
957,100,1/60,5.6
958,100,1/60,5.6
959,100,1/60,4
960,100,1/60,4
961,100,1/60,4
962,100,1/60,4
963,100,1/60,4
964,100,1/60,4
965,100,1/60,4
966,100,1/60,4
967,100,1/60,4
968,100,1/60,4
969,100,1/60,4
970,100,1/60,4
971,100,1/60,4
972,100,1/60,4
973,100,1/60,4
974,100,1/60,4
975,100,1/60,4
976,100,1/60,4
977,100,1/60,4
978,100,1/60,4
979,100,1/60,4
980,100,1/60,4
981,100,1/60,4
982,100,1/60,4
983,100,1/60,4
984,100,1/60,4
985,100,1/60,4
986,100,1/60,4
987,100,1/60,4
988,100,1/60,4
989,100,1/60,4
990,100,1/60,4
991,100,1/60,4
992,100,1/60,4
993,100,1/60,4
994,100,1/60,4
995,100,1/60,4
996,100,1/60,4
997,100,1/60,4
998,100,1/60,4
999,100,1/60,4
1000,100,1/60,4
